,names,countries,min_order,delivery_fee,amount_of_rankers,delivery_time_MAX,ranking
15732, Soul 2 Bowl - Green Square ,Australia,0,1.3134,10,35,3.67
15733, Cafe 299 ,Australia,0,2.6334,41,35,5.25
15734, Jackpot Dining - Newmarket ,Australia,0,3.9534,385,35,4.67
15735, Siam Spice ,Australia,0,2.6334,21,35,5.14
15736, London Spice ,Australia,0,2.3034,11,35,2.48
15737, Nutmeg Indian Cuisine ,Australia,0,3.2934,216,35,4.4
15738, Masala Art - Petrie Terrace ,Australia,0,2.3034,46,35,4.81
15739, Burmese Thai Fusion Kitchen ,Australia,0,1.6434,15,20,4.36
15740, Machi Machi - Brisbane CBD ,Australia,0,3.2934,16,35,3.71
15741, Roll'd - Valley Metro ,Australia,0,1.9734,20,35,4.72
15742, Winghaus - Caxton ,Australia,0,3.2934,397,35,5.27
15743, Smokin Burgers n' Ribs - Clayfield ,Australia,0,3.2934,11,35,4.45
15744, Italian Street Kitchen - Newstead ,Australia,0,1.9734,115,35,4.54
15745, P'Nut Street Noodles - South Bank ,Australia,0,2.6334,5,35,3.13
15746, Rib Room - Woolloongabba ,Australia,0,1.3134,134,35,4.76
15747, Sushi Cucci ,Australia,0,2.6334,28,35,4.3
15748, Wara Sushi - West End ,Australia,0,3.2934,19,35,3.72
15749, Healthy Indian ,Australia,0,1.3134,87,35,4.06
15750, Kafe Meze - Stones Corner ,Australia,0,1.9734,5,35,4.27
15751, Indian Flavour ,Australia,23.1,,114,35,4.49
15752, Hyderabad Flavours - Upper Mt Gravatt ,Australia,0,3.2934,21,35,5.38
15753, Toowong Fish Market ,Australia,0,3.2934,10,35,4.23
15754, PK Bros ,Australia,0,1.9734,24,35,4.97
15755, Cafe Bien ,Australia,0,1.3134,40,35,5.04
15756, The Rare Pear ,Australia,0,3.2934,16,35,4.96
15757, Mos Burger - Adelaide St ,Australia,0,3.2934,27,35,4.28
15758, Moofree Burgers - Morningside ,Australia,0,1.9734,24,35,4.07
15759, The Cheesecake Shop - Cannon Hill ,Australia,0,3.2934,64,35,5.27
15760, Wara Sushi (Gasworks) ,Australia,0,1.9734,5,35,4.8
15761, Antep Chargrill and Kebab ,Australia,0,2.6334,3,35,4.11
15762, Stone and Copper ,Australia,0,0.6534,3,35,5.22
15763, Lucky Star Chinese Takeaway ,Australia,0,2.6334,7,35,5.38
15764, Barg Cafe & Kebab ,Australia,0,1.9734,21,35,5.59
15765, Friendly Grocer - Kangaroo Pt ,Australia,0,0.6534,3,35,2.44
15766, Dalchini Progressive Indian ,Australia,0,2.6334,39,35,4.97
15767, Downtown Istanbul ,Australia,0,1.9734,14,35,4.26
15768, T4's Gourmet Pizza House ,Australia,0,3.2934,5,35,4.13
15769, Sassy Spoon ,Australia,0,1.3134,6,35,3.11
15770, Blue Lagoon Seafood & Restaurant ,Australia,0,3.2934,426,45,5.12
15771, Chili Coco ,Australia,33,,58,35,4.43
15772, Momo Chicken & Beer - Brisbane CBD ,Australia,0,2.6334,13,35,4.46
15773, Jag’s Indian Restaurant ,Australia,0,1.9734,76,35,1.7
15774, Red Lantern Chinese - Coorparoo ,Australia,0,1.9734,13,35,5
15775, Tibetan Kitchen - Toowong ,Australia,0,2.9634,9,35,3.78
15776, Parmi House - Fortitude Valley ,Australia,0,1.3134,5,35,4.8
15777, Lava Ristorante ,Australia,0,1.9734,60,35,3.8
15778, PappaRich - Brisbane City ,Australia,0,1.9734,87,35,4.59
15779, To Be Thai Express - New Farm ,Australia,0,1.9734,11,35,5.45
15780, Indian Brothers - Morningside ,Australia,0,1.6434,5,35,3.93
15781, Wooden Spoon Thai Kitchen ,Australia,0,3.9534,157,35,5.14
15782, Bao Wow Dumplings ,Australia,0,1.9734,35,35,4.24
15783, Korean Fried Chicken - West End ,Australia,0,2.6334,14,35,4.93
15784, Moga Izakaya & Sushi ,Australia,0,3.2934,21,35,3.65
15785, Degani - Coorparoo Square ,Australia,0,2.6334,16,35,4.23
15786, Viet Mart ,Australia,0,1.9734,305,35,4.76
15787, Singh vs Reddy ,Australia,0,1.9734,46,35,4.1
15788, Indigo Indian Cuisine ,Australia,0,1.9734,18,20,3.43
15789, Chapter 3 ,Australia,0,2.3034,48,35,3.88
15790, No No's ,Australia,0,2.6334,52,35,4.36
15791, Bare Beanz Cafe ,Australia,0,0.6534,2,35,3.67
15792, Nick's Takeaway ,Australia,0,3.2934,10,35,3.27
15793, The Hub’s Wok - Fortitude Valley ,Australia,0,1.3134,22,35,4.44
15794, Clove N Honey ,Australia,0,1.9734,8,35,4.25
15795, Made of Dough ,Australia,0,3.2934,271,35,5.06
15796, Biryani in a Box ,Australia,0,1.9734,8,35,5.63
15797, Thonglor Thai Restaurant - Norman Park ,Australia,0,1.3134,30,35,4.49
15798, Bakers Delight - Paddington ,Australia,0,0.6534,13,35,4.26
15799, Scherhazade Indian Restaurant ,Australia,13.2,6.6,9,35,3.04
15800, Gino's Italian Restaurant ,Australia,0,3.2934,23,35,4.62
15801, Highgate Fish N Chips Shop ,Australia,0,1.6434,7,35,5.48
15802, Flame Char-Grilled Chicken ,Australia,33,,6,35,3.61
15803, Qa Hotel ,Australia,0,1.3134,1,35,6
15804, Masayama Sushi ,Australia,0,3.2934,34,35,4.38
15805, The Taste of Transylvania - West End ,Australia,0,2.6334,4,35,3.42
15806, Salt Meats Cheese - Gasworks ,Australia,0,2.6334,53,35,3.61
15807, Hudson Corner American BBQ & Alehouse ,Australia,0,2.3034,15,35,4.27
15808, Encore Tea ,Australia,0,1.9734,7,35,4.62
15809, El Camino - Showground ,Australia,0,1.9734,8,35,3.46
15810, Thai Aiyara Restaurant ,Australia,0,1.6434,5,20,5.07
15811, Badboys Doughnuts - Bowen Hills ,Australia,0,1.9734,60,35,4.92
15812, Cowboy Grilled Tex Mex Burgers - Tarragindi ,Australia,0,2.6334,23,35,4.01
15813, Yums! Chicken - Paddington ,Australia,0,2.6334,6,35,3.72
15814, Kebab Sizzle ,Australia,0,2.6334,10,35,2.83
15815, Thai Tasty ,Australia,0,2.6334,7,35,4
15816, Bite of India ,Australia,0,2.6334,5,35,5
15817, Vapiano - Albert Lane ,Australia,0,2.6334,40,35,4.49
15818, Mission Vietnamese ,Australia,0,1.9734,7,35,2.86
15819, Tatsu Ramen & Gyoza Bar ,Australia,0,3.2934,3,45,4.33
15820, Fratelli Famous - Eagle St Pier ,Australia,0,1.9734,60,35,4.37
15821, Mama La Carte ,Australia,0,2.6334,42,35,4.71
15822, Krispy Krunchy Chicken - Stones Corner ,Australia,13.2,,31,35,3.38
15823, Bamiyan Restaurant ,Australia,0,3.2934,4,35,4
15824, Soi 9 Thai ,Australia,0,3.2934,2,35,2.84
15825, Cafe Bema ,Australia,0,3.2934,3,35,5.11
15826, Hari Chillies Sri Lankan Indian - Ashgrove ,Australia,0,3.9534,15,35,5.09
15827, All In Burgers & Wings ,Australia,0,1.3134,3,35,3.33
15828, Pita Pit - Milton ,Australia,0,2.6334,2,35,2.17
15829, Humanity Coffee ,Australia,0,1.9734,16,20,4.31
15830, Veganism Pizza - West End ,Australia,0,2.6334,4,35,4.25
15831, Indian & Persian Cuisines - South Brisbane ,Australia,0,1.9734,11,35,3.85
15832, Flourish Superfood Cafe ,Australia,0,1.3134,1,35,3.67
15833, Unique Pizza and Pasta Cafe ,Australia,0,1.3134,3,35,2.78
15834, Plantèin Cafè - Fortitude Valley ,Australia,0,0.6534,2,35,4.34
15835, Bella Tiarnie ,Australia,0,3.2934,5,35,4.27
15836, Bowen Hills Grocer ,Australia,0,2.6334,5,35,4.53
15837, Chic - Kelvin Grove ,Australia,0,0.6534,10,35,5.5
15838, Ahmet's Kebab House - Bulimba ,Australia,0,2.6334,9,35,4.63
15839, Shell - Hawthorne ,Australia,0,0.6534,4,35,2.92
15840, Yum Yum Gyoza House ,Australia,0,2.6334,12,20,2.69
15841, Gao's Kitchen ,Australia,0,2.6334,7,35,4.33
15842, The Upper Deck ,Australia,0,2.6334,2,35,4.34
15843, MisoHapi ,Australia,0,1.9734,3,35,2.44
15844, In & Out Aussie Burgers - Balmoral ,Australia,0,2.6334,2,35,5.17
15845, The Sweet Treat - Stones Corner ,Australia,0,3.2934,4,35,5.5
15846, Doughnut Lord - Albion ,Australia,0,1.9734,1,35,3
15847, Bake Haus Cafe ,Australia,0,2.6334,2,35,2.17
15848, Parma Joes - Stones Corner ,Australia,0,3.2934,5,35,4.87
15849, Eat Sushi - Eagle St ,Australia,0,2.6334,4,35,3.67
15850, Hosokawa Japanese Restaurant ,Australia,0,1.3134,1,35,5
15851, New Shanghai - Queens Plaza ,Australia,0,1.9734,975,35,4.23
15852, Istanbul 1923 Turkish Restaurant ,Australia,0,3.9534,482,35,4.29
15853, Pizza To Go ,Australia,0,3.2934,186,35,3.32
15854, Yeshi Buna Ethioafrican Cafe And Restaurant ,Australia,0,2.6334,602,35,4.19
15855, Shish Mahal - Tarragindi ,Australia,0,3.2934,660,35,3.76
15856, Ariake On Grey ,Australia,0,1.9734,1270,35,4.08
15857, Fia’s Corner Cafe ,Australia,0,1.9734,780,35,4.06
15858, Firefly Espresso Bar Pizza ,Australia,0,1.3134,249,35,3.13
15859, Burger Project - Edward St ,Australia,0,0.6534,806,35,3.55
15860, Sichuan Tiger ,Australia,0,1.3134,224,35,3.61
15861, Karaage Japanese Cuisine ,Australia,0,2.6334,811,35,3.69
15862, Grab & Go Convenience ,Australia,0,1.3134,313,35,3.26
15863, Bamiyan Restaurant - New Farm ,Australia,0,2.6334,442,35,3.93
15864, Abra Wraps ,Australia,0,1.9734,719,35,3.73
15865, The Banh Mi House ,Australia,0,1.3134,309,35,3.22
15866, Burgers with Bite - Bulimba ,Australia,0,2.6334,608,35,3.46
15867, Astor Terrace Cafe ,Australia,0,3.2934,61,35,3.62
15868, Stephs Cafe ,Australia,0,1.9734,173,35,3.55
15869, Migami ,Australia,0,3.2934,2240,35,3.99
15870, Camp Hill Artisan Bakehouse ,Australia,0,3.2934,69,35,3.84
15871, Lan Dining - Brisbane ,Australia,0,2.6334,950,35,3.65
15872, Myfriends 2021 ,Australia,0,3.2934,1238,35,3.82
15873, Origin Kebabs - QUT ,Australia,0,1.3134,1312,35,4.02
15874, Thrive On George ,Australia,0,1.9734,287,35,3.45
15875, Romeos Cafe ,Australia,0,2.6334,1504,35,3.33
15876, B's Burger Shop ,Australia,0,1.9734,842,35,3.49
15877, The Talking Toucan ,Australia,0,2.6334,949,35,3.9
15878, Kebab Station - CBD ,Australia,0,1.3134,334,20,3.75
15879, Sushi Kim On Creek ,Australia,0,2.6334,131,35,3.45
15880, Aussie Fried Chicken (AFC) - Balmoral ,Australia,0,1.3134,217,35,4.22
15881, Espresso Max Café - South Brisbane ,Australia,0,3.2934,192,35,4.31
15882, Heeretea - Woolloongabba ,Australia,0,1.9734,124,35,4.67
15883, OnCooks ,Australia,0,1.9734,77,35,4.31
15884, The No Sugar Specialty Coffee - Cannon Hill ,Australia,0,0.6534,282,35,3.77
15885, Lucha Black ,Australia,0,2.6334,37,35,4.11
15886, Octopus ,Australia,0,3.9534,46,35,3.5
15887, Hotel Carrington ,Australia,0,2.3034,148,35,4.19
15888, Guzman y Gomez - GYG - Bowen Hills Drive Thru ,Australia,0,2.6334,233,35,4.09
15889, Guzman y Gomez - GYG - Toowong ,Australia,0,3.927,335,35,4.5
15890, Guzman y Gomez - GYG - Valley Metro ,Australia,0,2.6334,466,35,4.48
15891, Guzman y Gomez - GYG - Southbank ,Australia,0,3.2934,863,35,4.67
15892, McDonald's - Newmarket II ,Australia,0,3.927,438,35,4.87
15893, McDonald's - Annerley ,Australia,0,3.927,345,35,4.67
15894, McDonald's - Coorparoo ,Australia,0,2.6334,75,35,4.28
15895, McDonald's - Colmslie Business Park ,Australia,0,3.2934,65,35,4.4
15896, McDonald's - Cannon Hill ,Australia,0,3.2934,33,35,4.96
15897, McDonald's - Southbank ,Australia,0,2.6334,332,35,4.63
15898, McDonald's - Albion ,Australia,0,1.9734,30,35,3.47
15899, McDonald's - Queen Street ,Australia,0,2.6334,25,35,4.51
15900, McDonald's - Windsor West ,Australia,0,2.3034,88,35,3.66
15901, McDonald's - Kangaroo Point ,Australia,0,2.6334,99,35,4.75
15902, McDonald's - Central Station ,Australia,0,3.2934,33,35,4.23
15903, McDonald's - Mcwhirters II ,Australia,0,3.927,260,35,4.33
15904, McDonald's - Wintergarden II ,Australia,0,5.907,23,35,4.28
15905, McDonald's - Myer II ,Australia,0,5.907,114,35,4.13
15906, Hungry Jack's - Annerley ,Australia,0,5.907,90,35,4.37
15907, KFC - Mt Gravatt ,Australia,0,5.907,56,35,4.49
15908, KFC - Valley Metro ,Australia,0,3.2934,24,35,4.01
15909, KFC - Kelvin Grove ,Australia,0,5.907,62,35,3.9
15910, KFC - Greenslopes ,Australia,0,5.907,101,35,4.13
15911, KFC - 8 Mile Plains ,Australia,0,5.907,70,35,3.44
15912, KFC - Kangaroo Point ,Australia,0,5.907,24,35,3.94
15913, KFC - Morningside ,Australia,0,5.907,3,35,4.78
15914, KFC - Annerley ,Australia,0,3.2934,6,35,5.45
15915, KFC - Myer Centre ,Australia,0,3.2934,5,35,5.6
15916, KFC - Macarthur Central ,Australia,0,2.6334,60,35,4.27
15917, Zambrero - Cannon Hill ,Australia,0,3.2934,10,35,3.57
15918, Zambrero - New Market ,Australia,0,1.9734,11,35,4.15
15919, Zambrero - Buranda ,Australia,0,2.6334,1,35,3
15920, Zambrero - Kelvin Grove ,Australia,0,3.2934,106,35,4.29
15921, Betty's Burgers - Newstead ,Australia,0,1.3134,74,35,4.07
15922, Betty's Burgers - Bulimba ,Australia,0,2.6334,528,35,4.77
15923, Betty's Burgers - West Village ,Australia,0,3.2934,163,35,4.76
15924, Betty's Burgers - Howard Smith Wharves ,Australia,0,3.2934,501,35,4.42
15925, Betty's Burgers - Albert St ,Australia,0,2.6334,211,35,4.35
15926, Red Rooster - Moorooka ,Australia,0,3.2934,346,35,4.75
15927, Red Rooster - Clayfield ,Australia,0,3.2934,265,35,4.47
15928, Red Rooster - Kelvin Grove ,Australia,0,2.6334,175,35,4.31
15929, Red Rooster - Camp Hill ,Australia,0,3.9534,221,35,4.21
15930, Red Rooster - Cannon Hill ,Australia,0,3.2934,181,35,4.31
15931, Red Rooster - Queens Plaza ,Australia,0,3.9534,98,35,3.97
15932, Subway - Albion ,Australia,0,2.3034,59,35,3.41
15933, Subway - Morningside ,Australia,0,3.9534,451,35,4.41
15934, Subway - Milton ,Australia,0,3.9534,246,35,4.12
15935, Subway - 344 Queen Street ,Australia,0,2.6334,203,35,4.15
15936, Subway - Ascot (QLD) ,Australia,0,3.9534,236,35,3.93
15937, Subway - Holland Park ,Australia,0,3.2934,260,35,4.24
15938, Subway - Woolloongabba ,Australia,0,2.6334,45,35,4.33
15939, Subway - Hamilton Portside Wharf ,Australia,0,3.2934,29,35,3.54
15940, Subway - West End ,Australia,0,3.2934,9,35,3.41
15941, Subway - Stones Corner ,Australia,0,3.9534,9,35,4.15
15942, Subway - George Street ,Australia,0,3.9534,11,35,3.88
15943, Subway - Windsor (QLD) ,Australia,0,3.2934,29,35,4.08
15944, Subway - Yeronga ,Australia,0,3.9534,18,35,4.57
15945, Subway - Cannon Hill ,Australia,0,2.3034,52,35,4.92
15946, Subway - Kelvin Grove ,Australia,0,2.6334,4,35,1.92
15947, Subway - Salisbury ,Australia,0,2.6334,16,35,3.79
15948, Subway - Turbot Street ,Australia,0,3.9534,26,35,3.83
15949, Subway - Grey Street ,Australia,0,2.3034,111,35,4.43
15950, Subway - South Bank ,Australia,0,2.6334,120,35,4.45
15951, Subway - Moorooka ,Australia,0,2.6334,63,35,4.58
15952, Subway - Mater Hill ,Australia,0,2.6334,65,35,4.37
15953, Subway - Albert Street ,Australia,0,3.2934,60,35,4.25
15954, Subway - Bowen Hills ,Australia,0,2.6334,64,35,3.92
15955, Subway - Post Office Square ,Australia,0,3.2934,35,35,4.07
15956, Subway - Gardens Point ,Australia,0,3.2934,3,35,4.78
15957, Subway - Brisbane City ,Australia,0,2.6334,18,35,4.26
15958, Subway - Myer Centre Brisbane CBD ,Australia,0,3.2934,86,35,4.5
15959, Burger Urge - Windsor ,Australia,0,3.9534,118,35,4.13
15960, Burger Urge - Kelvin Grove ,Australia,0,3.9534,24,35,4.67
15961, Noodle Box - Stones Corner ,Australia,0,3.2934,14,35,4.76
15962, Noodle Box - Cannon Hill ,Australia,0,3.9534,115,35,4.54
15963, Grill'd - Camp Hill ,Australia,0,2.6334,26,35,4.86
15964, Grill'd - Rosalie ,Australia,0,3.2934,66,35,4.83
15965, Grill'd - Fairfield Gardens ,Australia,0,2.6334,7,35,4.38
15966, Grill'd - Toowong ,Australia,0,2.6334,2,35,5.67
15967, Grill'd - Emporium ,Australia,0,2.6334,14,35,4.19
15968, Grill'd - Bulimba ,Australia,0,3.2934,112,35,3.88
15969, Grill'd - South Bank ,Australia,0,1.9734,76,35,4.89
15970, Grill'd - Eagle St ,Australia,0,3.2934,30,35,4.81
15971, Grill'd - Wintergarden ,Australia,0,2.6334,486,35,4.18
15972, Nando's - Newmarket ,Australia,0,1.9734,42,35,3.72
15973, Nando's - Morningside ,Australia,0,1.9734,25,35,5.2
15974, Nando's - Toowong ,Australia,0,0.6534,2,35,5.17
15975, Nando's - Brisbane CBD Festival Towers ,Australia,0,0.6534,1,35,6
15976, Nando's - Southbank (Bris) ,Australia,0,0.6534,181,35,4.36
15977, Nando's - Buranda Shopping Centre ,Australia,0,0.6534,8,35,5.33
15978, BP Couchfood & Krispy Kreme - Windsor ,Australia,0,0.6534,5,35,4.2
15979, BP Couchfood & Krispy Kreme - East Brisbane ,Australia,0,0.6534,11,35,4.36
15980, Couchfood - Hamilton QLD - Powered by BP ,Australia,0,0.6534,1,35,6
15981, BP Couchfood & Krispy Kreme - Bowen Bridge ,Australia,0,0.6534,4,35,4.33
15982, BP Couchfood & Krispy Kreme - Newstead ,Australia,0,0.6534,20,35,4.58
15983, NightOwl - Boundary Street ,Australia,0,0.6534,12,35,4.42
15984, NightOwl - Kangaroo Point ,Australia,0,0.6534,1,35,1.67
15985, NightOwl - Windsor ,Australia,0,3.2934,2,35,3.34
15986, NightOwl - Albert Street ,Australia,0,1.3134,301,35,4.21
15987, NightOwl - Tarragindi ,Australia,0,3.2934,105,40,5.3
15988, NightOwl - Mary Street ,Australia,0,3.2934,2,35,3
15989, Pizza Hut - Ashgrove ,Australia,0,2.6334,10,35,4.8
15990, Pizza Hut - New Farm ,Australia,16.434,,32,35,5.05
15991, Pizza Hut - Moorooka ,Australia,0,3.2934,20,35,3.67
15992, Pizza Hut - Cannon Hill ,Australia,0,0.6534,11,40,4.24
15993, Pizza Hut - Camp Hill ,Australia,0,0.6534,13,35,4.33
15994, Pizza Hut - Woolloongabba ,Australia,0,3.2934,60,35,3.75
15995, Pizza Hut - Carina ,Australia,16.5,0,34,35,4.47
15996, IGA Cafe - Adelaide St ,Australia,0,3.2934,143,35,4.59
15997, IGA X-Press - Brisbane City ,Australia,0,1.9734,4,35,4.25
15998, Sushi Train - Clayfield ,Australia,0,1.9734,147,35,4.38
15999, Crust Pizza - East Brisbane ,Australia,0,1.9734,5,35,5.33
16000, Andonis Cafe and Bar - Yeerongpilly ,Australia,0,2.6334,87,35,3.9
16001, Uncle Ben (Thai Restaurant) ,Australia,0,1.9734,142,35,4.34
16002, Broken Hearts Burger Club ,Australia,0,1.9734,32,35,3.74
16003, PepperJack Sandwiches ,Australia,0,1.9734,55,35,4.6
16004, Big Boss Pizza - Morningside ,Australia,0,0.6534,14,50,3.14
16005, Noodle King - Bowen Hills ,Australia,0,3.2934,3,35,5.22
16006, Brownie Temptations - Coorparoo ,Australia,0,2.6334,14,35,3
16007, Banh Mi Corner ,Australia,13.2,6.6,32,20,4.15
16008, Brooklyn Depot - Fortitude Valley ,Australia,0,1.9734,24,20,3.76
16009, Gnocchi Gnocchi Brothers - Paddington ,Australia,0,1.9734,9,35,3.63
16010, Good Lookin' Rooster ,Australia,0,1.9734,15,20,3.42
16011, Sitar Indian Restaurant - Albion ,Australia,0,1.9734,16,20,3.52
16012, Brooklyn Depot - Stones Corner ,Australia,0,1.9734,2,20,3
16013, Hen Hao (Chinese Restaurant) ,Australia,0,1.9734,27,20,4.07
16014, Fusion Desserts - Coorparoo ,Australia,0,2.6334,8,35,3.25
16015, Waffle House - Coorparoo ,Australia,0,1.9734,83,35,4.31
16016, Brooklyn Depot - Brisbane ,Australia,0,1.9734,67,35,4.28
16017, Sandwich & Wraps Heaven - Coorparoo ,Australia,0,1.9734,114,20,5.22
16018, Pancake Paradise - Coorparoo ,Australia,0,1.3134,42,20,4.45
16019, Burger Nation - Coorparoo ,Australia,0,1.9734,47,20,4.52
16020, Breakfast & Brunch Club - Coorparoo ,Australia,0,1.9734,1,35,1
16021, So Juicy - Post Office Square ,Australia,0,2.6334,1,35,1.33
16022, Hop And Pickle ,Australia,0,1.9734,7,35,3.19
16023, Melt Brothers ,Australia,0,1.9734,1145,35,3.75
16024, Snacks Bar - Coorparoo ,Australia,0,3.2934,178,35,5.05
16025, Aussie Hunger - Balmoral ,Australia,0,3.2934,171,35,5.09
16026, Fusion Cafe - Coorparoo ,Australia,0,2.6334,10,35,5.4
16027, Oporto - Buranda Village ,Australia,0,2.6334,6,35,5
16028, Sushi Hub - Albert Street ,Australia,0,3.2934,16,35,3.65
16029, Sushi Hub - MCB ,Australia,0,1.9734,5,35,3.47
16030, Sushi Hub - Post Office Square ,Australia,0,1.9734,2,35,3.34
16031, The Yiros Shop - Albion ,Australia,0,1.9734,3,35,5.78
16032, The Yiros Shop - Newmarket ,Australia,0,3.9534,2,35,5.67
16033, The Yiros Shop - Fortitude Valley ,Australia,0,2.6334,2,20,1.84
16034, The Yiros Shop - South Brisbane ,Australia,0,0.6534,172,35,5.07
16035, San Churro - South Bank ,Australia,0,1.9734,10,35,4.97
16036, Supreme Leader Chicken - Cannon Hill ,Australia,0,3.2934,2362,35,4.2
16037, Supreme Leader Chicken - Stones Corner ,Australia,0,3.2934,23,35,5.06
16038, FoodWorks - Norman Park ,Australia,0,1.3134,7,35,4.76
16039, Ribs & Burgers - Woolloongabba ,Australia,0,1.9734,3,35,4.67
16040, Gelatissimo - Bulimba ,Australia,0,1.9734,2,35,2.84
16041, Cold Rock - Clayfield (QLD) ,Australia,0,0.6534,3,35,5.44
16042, Burrito Bar - Spring Hill ,Australia,0,3.2934,161,35,4.8
16043, Bavarian - Eagle Street Pier ,Australia,0,1.9734,1,35,2.33
16044, Gnocchi Gnocchi Brothers - South Bank ,Australia,0,3.2934,49,35,4.41
16045, Andonis Cafe & Bar ,Australia,0,3.2934,1,35,3.33
16046, Andonis By The Corso - Yeronga ,Australia,0,3.2934,9,20,4.26
16047, Zeus Street Greek - Queens Plaza ,Australia,0,3.2934,55,35,4.78
16048, Fried Chicken by Red Rooster - Moorooka ,Australia,0,3.2934,17,35,3.92
16049, Fried Chicken by Red Rooster - Clayfield ,Australia,0,3.2934,136,35,4.88
16050, Fried Chicken by Red Rooster - Cannon Hill ,Australia,0,3.2934,222,35,4.22
16051, Fried Chicken by Red Rooster - Camp Hill ,Australia,0,1.9734,10,35,4.4
16052, Fried Chicken by Red Rooster - Mount Gravatt ,Australia,0,1.3134,310,35,3.89
16053, Fried Chicken by Red Rooster - Myer Centre ,Australia,0,2.6334,283,35,4.6
16054, Winghaus - Edward St ,Australia,0,2.6334,136,35,4.2
16055, Winghaus - Eagle Street ,Australia,0,3.2934,198,35,3.88
16056, Smokin Burgers n' Ribs - Spring Hill ,Australia,0,2.6334,4,35,3.5
16057, Smokin Burgers n' Ribs - South Bank ,Australia,0,2.6334,5,,5.33
16058, P'Nut Street Noodles - Windsor ,Australia,0,2.6334,107,,4.75
16059, The Cheesecake Shop - Ashgrove ,Australia,0,1.9734,133,,5.2
16060, The Cheesecake Shop - Annerley ,Australia,,,35,,3.94
16061, Burger Project - Caxton ,Australia,,,130,,4.87
16062, Burger Project - Eagle Street Pier ,Australia,,,2,,5.84
16063, Burgers with Bite - Eagle St Pier ,Australia,,,9,,5.07
16064, McDonald's - Milton ,Australia,,,47,,4.79
16065, Piefection Gourmet Pies - Mount Gravatt ,Australia,,,7,,5.1
16066, DannyBoys Kelvin Grove ,Australia,,,3,,4.78
16067, Tarragindi Thai Restaurant ,Australia,,,79,,4.77
16068, Bunz Burger Co. - Green Square ,Australia,,,11,,3.64
16069, Yavanna ,Australia,,,13,,4.44
16070, B&J Coffee House ,Australia,,,35,,3.78
16071, Sandwich Wrap & Salad Heaven ,Australia,,,11,,4.3
16072, Neptune's Banquet ,Australia,,,20,,3.98
16073, Valley Pancakes - Up Late ,Australia,,,49,,4.25
16074, La Arepa Brava ,Australia,,,6,,2.33
16075, Buenisimo Latin Kitchen ,Australia,,,111,,4.68
16076, Jacaranda Coffee Lane ,Australia,,,26,,4.38
16077, Healthy Choice ,Australia,,,39,,4.03
16078, Spar Express - Tarragindi ,Australia,,,3,,4.89
16079, Tibetan Kitchen - Brisbane ,Australia,,,90,,4.34
16080, The Eatery -  New Farm ,Australia,,,12,,5.36
16081, Mamm's Thai Noodles 'n' Rice ,Australia,,,22,,5.11
16082, Don Churros ,Australia,,,55,,4.73
16083, Absurd Bird - New Farm ,Australia,,,749,,5.13
16084, Hungry Jack's - Herston ,Australia,,,4,,3.5
16085, Sushi On Milton ,Australia,,,9,,3.85
16086, GoldenLane ,Australia,,,34,,4.94
16087, Platform 5 Cafe & Bar ,Australia,,,15,,4.98
16088, Chaye Shaye ,Australia,,,16,,4.52
16089, Stanley's Seafood & BBQ Chicken ,Australia,,,3,,1.89
16090, Burger Urge - Southbank ,Australia,,,44,,4.93
16091, Mr. Badgers Delicatessen ,Australia,,,29,,4.13
16092, The Verve Italian Steakhouse ,Australia,,,9,,3.89
16093, Mad Burgers - Fortitude Valley ,Australia,,,21,,4.43
16094, Bunz Burger Co - Milton ,Australia,,,3,,1.56
16095, Ben & Jerry's + Magnum Store - Bardon ,Australia,,,10,,5.23
16096, Soul Origin - Wintergarden Brisbane ,Australia,,,3,,4.89
16097, Sunny Side ,Australia,,,7,,3.71
16098, The Albion Marketplace ,Australia,,,11,,4.85
16099, Uh Oh Spaghettio Restaurant ,Australia,,,1,,2.33
16100, Beef Pork & Lamb Place ,Australia,,,35,,5.37
16101, Esher Street Cafe & Deli ,Australia,,,8,,3.29
16102, The Sweet Tooth Co - Moorooka ,Australia,,,1,,1
16103, Crispy Kale ,Australia,,,103,,3.88
16104, Flame Char Grilled Chicken ,Australia,,,127,,3.5
16105, Ozi Yeros Greek Street Food - The Barracks ,Australia,,,63,,3.93
16106, C Cafe Sunnybank ,Australia,,,57,,4.9
16107, Pizzeria 1760 ,Australia,,,3,,3.22
16108, Magical Rice - Murrarie ,Australia,,,190,,4.64
16109, The Barra Boys - Moorooka ,Australia,,,20,,4.72
16110, Seafood Universe ,Australia,,,15,,4.82
16111, IGA - Chris' Carina ,Australia,,,63,,4.83
16112, Krispy Kreme - Albert Street ,Australia,,,4,,2.75
16113, Ombra Italian Bar ,Australia,,,10,,3.7
16114, Sasso Italiano ,Australia,,,2,,4.84
16115, Italian Street Kitchen - West End ,Australia,,,5,,4.33
16116, Pita Pit's Smoothies - Milton ,Australia,,,6,,3.11
16117, Ben & Jerry's + Magnum - Cannon Hill ,Australia,,,40,,3.88
16118, Cheeky Poke Bar - West End ,Australia,,,34,,4.86
16119, TSEN Grocer ,Australia,,,24,,3.99
16120, World of Wings - New Farm ,Australia,,,24,,4.82
16121, Susie Sushi ,Australia,,,26,,4.72
16122, Milton Artisan Bake House ,Australia,,,9,,5.41
16123, Soul 2 Bowl - Milton ,Australia,,,4,,4.83
